Local time,Open,High,Low,Close,Volume
03.05.2003 17:00:00.000 GMT-0400,1.12354,1.12354,1.12354,1.12354,0
04.05.2003 17:00:00.000 GMT-0400,1.12354,1.13019,1.12030,1.12804,1053162796875
05.05.2003 17:00:00.000 GMT-0400,1.12798,1.14510,1.12738,1.14368,1061122699218.75
06.05.2003 17:00:00.000 GMT-0400,1.14367,1.14448,1.13275,1.13677,1056796589843.75
07.05.2003 17:00:00.000 GMT-0400,1.13675,1.15092,1.13026,1.15026,1058908699218.75
08.05.2003 17:00:00.000 GMT-0400,1.15002,1.15376,1.14362,1.14907,1063989000000
09.05.2003 17:00:00.000 GMT-0400,1.14907,1.14907,1.14907,1.14907,0
10.05.2003 17:00:00.000 GMT-0400,1.14907,1.14907,1.14907,1.14907,0
11.05.2003 17:00:00.000 GMT-0400,1.14958,1.16244,1.14946,1.15457,1056515796875
12.05.2003 17:00:00.000 GMT-0400,1.15427,1.15751,1.14630,1.15150,1057731394531.25
13.05.2003 17:00:00.000 GMT-0400,1.15190,1.15388,1.14681,1.14970,1053901310546.875
14.05.2003 17:00:00.000 GMT-0400,1.14983,1.14988,1.13757,1.13877,1052095189453.125
15.05.2003 17:00:00.000 GMT-0400,1.13845,1.15786,1.13691,1.15735,1060083697265.625
16.05.2003 17:00:00.000 GMT-0400,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 17:00:00.000 GMT-0400,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 17:00:00.000 GMT-0400,1.16634,1.17363,1.16215,1.16596,1054386589843.75
19.05.2003 17:00:00.000 GMT-0400,1.16590,1.17156,1.16013,1.17069,1059785310546.875
20.05.2003 17:00:00.000 GMT-0400,1.17059,1.17453,1.16617,1.16746,1049814808593.75
21.05.2003 17:00:00.000 GMT-0400,1.16724,1.17276,1.16192,1.16938,1043186296875
22.05.2003 17:00:00.000 GMT-0400,1.16947,1.18373,1.16648,1.18266,1050209193359.375
23.05.2003 17:00:00.000 GMT-0400,1.18266,1.18266,1.18266,1.18266,0
24.05.2003 17:00:00.000 GMT-0400,1.18266,1.18266,1.18266,1.18266,0
25.05.2003 17:00:00.000 GMT-0400,1.18270,1.18754,1.17972,1.18690,1052746001953.125
26.05.2003 17:00:00.000 GMT-0400,1.18670,1.19300,1.18176,1.18288,1057688898437.5
27.05.2003 17:00:00.000 GMT-0400,1.18261,1.18453,1.17047,1.17649,1060247691406.25
28.05.2003 17:00:00.000 GMT-0400,1.17657,1.19008,1.16917,1.18833,1045905000000
29.05.2003 17:00:00.000 GMT-0400,1.18827,1.19158,1.17439,1.17691,1057263291015.625
30.05.2003 17:00:00.000 GMT-0400,1.17691,1.17691,1.17691,1.17691,0
31.05.2003 17:00:00.000 GMT-0400,1.17691,1.17825,1.17691,1.17825,0
01.06.2003 17:00:00.000 GMT-0400,1.17149,1.17672,1.16524,1.17473,965518300781.25
02.06.2003 17:00:00.000 GMT-0400,1.17496,1.17783,1.16875,1.17391,1051858603515.625
03.06.2003 17:00:00.000 GMT-0400,1.17365,1.17473,1.16619,1.16645,1061048509765.625
04.06.2003 17:00:00.000 GMT-0400,1.16635,1.18860,1.16287,1.18405,1051561503906.25
05.06.2003 17:00:00.000 GMT-0400,1.18389,1.18785,1.16843,1.17001,1057574794921.875
06.06.2003 17:00:00.000 GMT-0400,1.17001,1.17001,1.17001,1.17001,0
07.06.2003 17:00:00.000 GMT-0400,1.17001,1.17001,1.17001,1.17001,0
08.06.2003 17:00:00.000 GMT-0400,1.16940,1.17859,1.16564,1.17161,1062323201171.875
09.06.2003 17:00:00.000 GMT-0400,1.17146,1.17415,1.16704,1.16759,1055061298828.125
10.06.2003 17:00:00.000 GMT-0400,1.16746,1.17820,1.16581,1.17421,1069002992187.5
11.06.2003 17:00:00.000 GMT-0400,1.17429,1.18058,1.17036,1.17638,1066536095703.125
12.06.2003 17:00:00.000 GMT-0400,1.17652,1.18774,1.17354,1.18630,1051470306640.625
13.06.2003 17:00:00.000 GMT-0400,1.18630,1.18630,1.18630,1.18630,0
